target,family,model,lag_months,formula,n_obs,n_train,n_test,train_r2,full_r2,test_rmse,test_mae,test_r2,high_leverage_month_count,high_leverage_months,max_cooks_distance,coef_intercept,hac_se_intercept,t_intercept,p_intercept,coef_GM2_YoY_lag,hac_se_GM2_YoY_lag,t_GM2_YoY_lag,p_GM2_YoY_lag,coef_CI_zscore,hac_se_CI_zscore,t_CI_zscore,p_CI_zscore,coef_CI_monthly_change,hac_se_CI_monthly_change,t_CI_monthly_change,p_CI_monthly_change,coef_GM2_x_CI_zscore,hac_se_GM2_x_CI_zscore,t_GM2_x_CI_zscore,p_GM2_x_CI_zscore,coef_GM2_x_CI_monthly_change,hac_se_GM2_x_CI_monthly_change,t_GM2_x_CI_monthly_change,p_GM2_x_CI_monthly_change
Brent_YoY,interaction,interaction_zscore,1,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,266,213,53,0.39057676055704493,0.3284681217030704,33.652285516244966,29.038626156312816,-0.27184691239575876,10,2009-01;2009-12;2015-04;2015-08;2020-10;2020-11;2021-01;2021-03;2021-04;2021-05,0.44035593253411837,-5.454342519270768,6.625890993141307,-0.8231862741051355,0.41115070846431956,3.515533395139574,0.7505263788797136,4.684090385186856,4.5205864236397275e-06,-2.0494083486691257,0.7300854999240785,-2.807079922669665,0.005374930560164248,,,,,-1.1430563708878732,0.33740208265629024,-3.387816583373905,0.000812841128549957,,,,
Brent_YoY,interaction,interaction_change,1,Brent_YoY_t = alpha + GM2_YoY_lag + CI_monthly_change + GM2_x_CI_monthly_change,266,213,53,0.2259257456835666,0.18943527662131476,32.953067369088046,26.777231209627836,-0.21954379978359428,15,2009-01;2009-02;2017-02;2020-04;2020-05;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05,0.24938912460353407,-12.439157255946139,6.915149920610326,-1.7988268365479294,0.07319689119626438,3.276691586785561,0.913834700936269,3.585650209417992,0.0004009951850243443,,,,,-0.00034352042275603845,0.0003039290012030905,-1.130265362621622,0.2593980671026914,,,,,5.054644967916744e-06,4.004798339605047e-05,0.12621471892677705,0.8996587622097374
Brent_YoY,interaction,interaction_selected_p10,1,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change,266,213,53,0.28665377598161357,0.2579851855337083,30.24422521101662,26.40014754100039,-0.027284266775892352,14,2009-01;2009-02;2015-08;2017-02;2020-04;2020-05;2020-09;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05,1.3783643927733906,-4.54908199861034,6.90501447152331,-0.6588084670019194,0.5105973265552697,2.807999996362684,0.8707753522349403,3.224712308582971,0.0014210087432904306,-3.680841212884117,1.250928401338994,-2.9424875228223644,0.0035474677834002044,-0.000242404419842579,0.00023661802456882155,-1.0244545836451036,0.30656554695644367,,,,,,,,
Brent_YoY,interaction,interaction_full,2,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_zscore + GM2_x_CI_monthly_change,265,212,53,0.4090649094651483,0.36674393153321383,30.703204962471613,27.276018521597678,-0.05870053781031381,14,2008-09;2008-10;2008-11;2009-02;2015-08;2017-02;2020-04;2020-11;2021-01;2021-02;2021-03;2021-04;2021-05;2021-10,0.2638743466362975,-7.903718880123477,6.622246201651328,-1.1935102742257755,0.23376166497260442,3.7684891753314846,0.8181175397464115,4.606293096343574,6.434232851626476e-06,-2.137770037497281,0.5724506171010952,-3.734418260081549,0.00023139042166686608,-0.00018257448730935044,0.00028849173194948365,-0.6328586475446033,0.5273843045788931,-1.0688092670411073,0.349294577793456,-3.059907983092463,0.002446631561262347,8.826291493679861e-06,3.642276073261547e-05,0.24232900845915797,0.8087170150642509
Brent_YoY,interaction,interaction_zscore,2,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,265,212,53,0.40472154031383656,0.36522885784744497,30.163828327908075,26.5602614457352,-0.021829957447769388,11,2008-09;2009-02;2009-12;2015-08;2020-10;2020-11;2021-01;2021-02;2021-03;2021-04;2021-05,0.2974121393817381,-8.227689527327273,6.617668504420139,-1.2432912772575044,0.21487616078684857,3.804989267837344,0.797597427306333,4.770563617146627,3.05972051606318e-06,-2.1684280617964022,0.5859712114858203,-3.700570982485673,0.0002623626497673115,,,,,-1.0768677462959506,0.33153484121556703,-3.2481284390733496,0.0013138611185670168,,,,
Brent_YoY,interaction,interaction_change,2,Brent_YoY_t = alpha + GM2_YoY_lag + CI_monthly_change + GM2_x_CI_monthly_change,265,212,53,0.2770655772851678,0.2441110709752985,31.855716219302554,25.66328588560086,-0.1396735204533588,18,2008-10;2008-11;2009-02;2017-02;2020-04;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-10;2022-12;2023-01,0.3293140785567123,-16.280660542568423,6.6133802842392955,-2.4617759516064344,0.014472221880883929,3.7613891469829883,0.8985304970176077,4.186156351362307,3.881638433300694e-05,,,,,-0.00019670270300631287,0.00030728720944096604,-0.6401265557527284,0.5226518593637679,,,,,-1.357408176660968e-05,4.120882860204079e-05,-0.32939741863804034,0.7421195035533734
Brent_YoY,interaction,interaction_selected_p10,2,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change,265,212,53,0.3205516570532816,0.29946885914564525,28.635787452777464,25.006340406142886,0.07907561955192277,11,2009-02;2015-08;2017-02;2020-04;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05,1.2561618918916893,-8.63513202982991,6.847354831801186,-1.2610901935044676,0.20840240851136382,3.294042563831059,0.8884442841004033,3.7076523793120586,0.00025549446765005257,-3.3390430363218715,1.1938461454646077,-2.7968788516064773,0.005543905618567102,-0.00022777542397944828,0.00022985698508321906,-0.9909441033387906,0.3226306577495306,,,,,,,,
Brent_YoY,interaction,interaction_full,3,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + CI_monthly_change + GM2_x_CI_zscore + GM2_x_CI_monthly_change,264,212,52,0.4062687855130742,0.3834242786978501,27.826931653401978,24.891056693158756,0.09604876576052845,14,2008-09;2008-10;2008-11;2009-03;2015-08;2017-02;2020-04;2021-01;2021-02;2021-03;2021-04;2021-05;2021-10;2023-01,0.22729127184635203,-9.780601779925588,6.308328155702673,-1.5504269179598733,0.12226485211281934,3.9146246518966956,0.840026189931351,4.660122147163778,5.069337049468103e-06,-2.083671439878948,0.5154075395835814,-4.042764763515937,6.978705280369368e-05,-0.0001301218178132446,0.0002713217434827251,-0.47958492431525085,0.6319288532245104,-0.9877842062580325,0.3596577993958437,-2.746455680697933,0.006448503205636502,-2.0418581043735173e-06,3.7420168230784674e-05,-0.05456571151098486,0.9565266854971346
Brent_YoY,interaction,interaction_zscore,3,Brent_YoY_t = alpha + GM2_YoY_lag + CI_zscore + GM2_x_CI_zscore,264,212,52,0.4015436113170049,0.3816906892332522,27.224398048098493,24.290300850564105,0.13477127095437502,15,2005-08;2008-09;2008-10;2008-11;2008-12;2009-03;2009-04;2015-08;2017-01;2020-11;2020-12;2021-01;2021-03;2021-04;2021-05,0.25654336107265896,-10.000547034524072,6.33678271984345,-1.578174205532983,0.11574144447817214,3.9573840974530783,0.818145076625216,4.837019998674289,2.259743489441135e-06,-2.1023170813561847,0.5173860387741573,-4.063343275240291,6.411302664277585e-05,,,,,-1.0126764620210664,0.3380542659667566,-2.9956032624674838,0.0030034807672900676,,,,
Brent_YoY,interaction,interaction_change,3,Brent_YoY_t = alpha + GM2_YoY_lag + CI_monthly_change + GM2_x_CI_monthly_change,264,212,52,0.3001258228110508,0.2788714645053074,29.73868104798403,23.697211518040653,-0.032423224502518,19,2008-09;2008-10;2008-11;2008-12;2009-01;2009-03;2009-04;2017-02;2020-04;2020-08;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-10;2023-01,0.28752167805836615,-18.290406516351457,6.139715947259817,-2.9790313873583267,0.003165021391827727,4.024486014449432,0.8731200072847737,4.609315994217987,6.337927321187209e-06,,,,,-0.00015326818617389382,0.000294429399887314,-0.5205600603491147,0.6031162845103539,,,,,-2.407472700216573e-05,3.994254384745481e-05,-0.6027339443904699,0.5472110435661643
