target,model,lag_months,window_months,n_predictions,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,target_family,baseline_gm2_rmse_same_lag,baseline_gm2_mae_same_lag,rmse_improvement_vs_same_lag_gm2,mae_improvement_vs_same_lag_gm2
Brent_deviation_12m_avg,ci_diagnostic,18,60,398,21.1030357699495,15.86727293288681,0.01582207067770669,0.5264483627204031,0.5829145728643216,trailing_average_deviation,21.090250535470464,16.30306827281809,-0.0006062153912080604,0.026730878668887025
Brent_deviation_12m_avg,gm2_plus_ci,18,60,189,20.596512100690816,15.66623660538503,0.06035749935260615,0.5106382978723404,0.5291005291005291,trailing_average_deviation,21.090250535470464,16.30306827281809,0.023410742985212882,0.0390620744988747
WTI_GM2_path_residual,gm2_only,0,60,141,35.09491891829586,23.419521962292237,-0.01770384148886217,0.5071428571428571,0.6170212765957447,gm2_path_residual,35.09491891829586,23.419521962292237,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,0,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,35.09491891829586,23.419521962292237,0.001861851792050579,-0.043243899411015974
WTI_GM2_path_residual,gm2_plus_ci,0,60,141,35.28600307707677,23.321800308447422,-0.028816361695072068,0.5285714285714286,0.6382978723404256,gm2_path_residual,35.09491891829586,23.419521962292237,-0.00544478131508927,0.004172657921974509
WTI_GM2_path_residual,gm2_only,1,60,142,35.83143115187669,24.603049124891964,-0.06569150757315034,0.5673758865248227,0.5915492957746479,gm2_path_residual,35.83143115187669,24.603049124891964,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,1,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,35.83143115187669,24.603049124891964,0.022378502490228713,0.0069412417030660315
WTI_GM2_path_residual,gm2_plus_ci,1,60,142,36.163614776316685,24.527549832618384,-0.08554258246533197,0.524822695035461,0.6056338028169014,gm2_path_residual,35.83143115187669,24.603049124891964,-0.009270732810866069,0.0030686965623782916
WTI_GM2_path_residual,gm2_only,2,60,142,36.69625731923127,25.782615063260913,-0.1177553064309822,0.48936170212765956,0.5704225352112676,gm2_path_residual,36.69625731923127,25.782615063260913,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,2,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,36.69625731923127,25.782615063260913,0.045418254077422206,0.05237411510290935
WTI_GM2_path_residual,gm2_plus_ci,2,60,142,36.949546201954654,25.403787399448646,-0.1332387419072225,0.5390070921985816,0.5704225352112676,gm2_path_residual,36.69625731923127,25.782615063260913,-0.006902308334061134,0.014693143534228978
WTI_GM2_path_residual,gm2_only,3,60,142,36.92175437020091,26.39428344715442,-0.1315346378415323,0.46808510638297873,0.5492957746478874,gm2_path_residual,36.92175437020091,26.39428344715442,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,3,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,36.92175437020091,26.39428344715442,0.051248295804494574,0.07433465798755243
