target,model,lag_months,n_train,n_test,train_r2,test_r2,test_rmse,coef_intercept,coef_GM2_YoY_lag,p_GM2_YoY_lag,coef_CI_zscore,p_CI_zscore,coef_CI_monthly_change,p_CI_monthly_change,max_abs_t
WTI_YoY,a_gm2,5,210,52,0.2604945525983362,0.14750559529779705,25.87425011986882,-24.53962914452872,4.409215210363631,2.4424906541753444e-15,,,,,8.559734646610107
WTI_YoY,c_gm2_inventory,5,210,52,0.31640120485654144,0.2965349088166078,23.504081202644123,-11.32914848421007,3.456041846170658,4.24197854620445e-09,-2.939508627577375,0.0011350088971828765,-0.0004524173916884422,0.029177185234652736,6.137272637381177
WTI_YoY,a_gm2,6,209,52,0.21737167804527968,0.2074811927271567,24.94748625813098,-21.4825353775764,4.016279626643945,1.1237677455255835e-12,,,,,7.582438065771237
WTI_YoY,c_gm2_inventory,6,209,52,0.287859445834602,0.301728980329223,23.417148627431608,-7.395199368053759,3.0425128969578528,2.144339694698516e-07,-3.297395261828107,0.00031308259672369054,-0.00048430818214706406,0.02250888140817331,5.368145186658476
WTI_YoY,a_gm2,7,208,52,0.17147805086110035,0.2859976802261711,23.679461121917722,-17.889136039679983,3.5510962410042515,5.048050866207632e-10,,,,,6.52958936789174
WTI_YoY,c_gm2_inventory,7,208,52,0.259928104588673,0.27309875583829735,23.89239629025578,-3.0308062755338327,2.5689091606778884,1.0045747689035878e-05,-3.676516950103431,6.516190132921373e-05,-0.0005108563191171811,0.018007927553272962,4.529638170942103
WTI_YoY,a_gm2,8,208,51,0.12837738473037774,0.34736634295443747,21.370786887029517,-13.915895788836508,3.0805783947937533,1.0737141131755834e-07,,,,,5.508249798526187
WTI_YoY,c_gm2_inventory,8,208,51,0.23808510699959617,0.1305613348118524,24.66637075101549,1.9858185099185457,2.067155659193356,0.0003392297713098458,-4.1567003870507495,6.883831629389547e-06,-0.0005187989864539055,0.018446091381906227,4.616944568403895
WTI_YoY,a_gm2,9,207,51,0.0895009212097081,0.3707334076217452,20.984717054660635,-9.798607900789982,2.5752091182357724,1.1927563139835229e-05,,,,,4.4890136694923495
WTI_YoY,c_gm2_inventory,9,207,51,0.21812555268451128,0.006126039767068492,26.37250819767868,6.545974832415718,1.5875591829642417,0.005634663601616019,-4.531834186155684,1.038246755458161e-06,-0.0005152979812308445,0.021052293300345637,5.037825695331277
WTI_YoY,a_gm2,10,206,51,0.0630553753219667,0.35580533596900743,21.23216798160837,-6.504697527654857,2.1688440623019214,0.00027194153851950453,,,,,3.7052641908696176
WTI_YoY,c_gm2_inventory,10,206,51,0.20668453563909772,-0.10679939537143945,27.830450506459677,9.680250517116251,1.2540388072577393,0.02794723226984064,-4.784641625267747,2.3956901351596116e-07,-0.0005115852646182528,0.02317068958857882,5.348047461580148
WTI_YoY,a_gm2,11,205,51,0.04165178994081309,0.3038423414082789,22.071893023927338,-3.319565480995812,1.7729633796687547,0.003333545295627127,,,,,2.970319632098276
WTI_YoY,c_gm2_inventory,11,205,51,0.19845769438417882,-0.23747551216961926,29.427548677208254,12.436852921753509,0.9515914360130551,0.09430637683911058,-4.987868114672602,6.43963671276282e-08,-0.0005057997095467837,0.0257239229039532,5.616157798434098
WTI_YoY,a_gm2,12,204,51,0.024042854423440896,0.22956869399938662,23.219493437286104,-0.02415777017127897,1.3544027778166272,0.02679665587933533,,,,,2.230762442724329
WTI_YoY,c_gm2_inventory,12,204,51,0.1927511111519321,-0.3931916271810938,31.224191930257163,15.339438835853603,0.6109328995661805,0.28262829865027683,-5.145794980884543,2.1801941141319503e-08,-0.0005113992364697006,0.02513320449101064,5.831322844943863
WTI_YoY,a_gm2,13,204,50,0.01591312847942794,0.123641129745376,23.535993729438033,2.107389143076839,1.104539299138402,0.07219910382475403,,,,,1.8073270568594213
WTI_YoY,c_gm2_inventory,13,204,50,0.1944926871806465,-0.6715479594959386,32.50505963387783,17.33690425846537,0.39364649514146294,0.48743454726655955,-5.281315198564717,7.88621457026295e-09,-0.0005238754944391633,0.022571987724403053,6.02771303031248
WTI_YoY,a_gm2,14,203,50,0.00988446278506494,0.05541905841993133,24.434932049024642,3.9180366652539265,0.879271982292728,0.15816274113508877,,,,,1.4165490794399644
WTI_YoY,c_gm2_inventory,14,203,50,0.19351840200627035,-0.7903675660107574,33.64051587788678,19.239195810041437,0.1633684070674719,0.7759100080398533,-5.345938324640196,5.4920092917853935e-09,-0.0005349170257042124,0.020709875695704927,6.097980810312951
WTI_YoY,a_gm2,15,202,50,0.006875462889062378,0.018833854127673688,24.903639658098534,4.862528556739205,0.7454964675982607,0.24071560879514475,,,,,1.1766955550120153
WTI_YoY,c_gm2_inventory,15,202,50,0.1936991003612728,-0.816196029678877,33.882301855076854,19.699937812651395,0.09022119118257431,0.8769600374757363,-5.369916715829534,4.493416971840247e-09,-0.0005329052849215171,0.02119908052244357,6.137420102572068
WTI_YoY,a_gm2,16,201,50,0.0070062322444056635,0.012319536472566228,24.986175034036325,4.598919531647892,0.7629600832228238,0.23745521565901617,,,,,1.1849377661967122
WTI_YoY,c_gm2_inventory,16,201,50,0.19355155178525063,-0.7781581962528374,33.52561429484801,19.044018238791935,0.1527945072375976,0.7959883995135897,-5.359914762665274,4.844587175867332e-09,-0.0005232994894034393,0.02378568552822191,6.124601641989246
WTI_YoY,a_gm2,17,200,50,0.007781336132135497,0.023836933828209284,24.84006524118825,4.057178968851752,0.8157536098451685,0.21419678833318745,,,,,1.2461088693193423
WTI_YoY,c_gm2_inventory,17,200,50,0.19608993597324464,-0.741646217749204,33.179628322216274,18.344203127398067,0.21976127895161587,0.7139899172128266,-5.37725311269082,4.3405441463306715e-09,-0.000522759339645934,0.02377241513202133,6.146865792411616
WTI_YoY,a_gm2,18,200,49,0.009961721153919245,-0.04068510610800513,23.91208671071446,3.3151355355480527,0.9258183858422063,0.15967349333358816,,,,,1.4114769565155105
WTI_YoY,c_gm2_inventory,18,200,49,0.19969700753653974,-0.9625514401090884,32.837367371602404,17.648717774163067,0.32664177880313144,0.5863899565259008,-5.438074791439989,2.890391703758155e-09,-0.0005034191473613503,0.029832911148579333,6.223542567696065
WTI_YoY,b_inventory,0,374,93,0.11268262528836614,0.06003364776349851,46.21763503840993,11.493462701398522,,,-3.4045796441468568,2.516611807834579e-09,-0.00042225881306734436,0.02066022337743667,6.110231445905285
Brent_YoY,a_gm2,0,213,53,0.1573971272861865,-0.216973037195634,33.790841338504336,-15.185233044192366,3.406607298379,1.921754977374235e-09,,,,,6.278099012778631
Brent_YoY,c_gm2_inventory,0,213,53,0.25022948136679046,-0.07626119074503257,31.777327298105146,1.6164542795484234,2.255996728075538,8.360894170555966e-05,-4.162843547486679,3.5600249201905854e-06,-0.0003601322645638838,0.09581280515949864,4.763225475122055
Brent_YoY,a_gm2,1,213,53,0.21581830633324117,-0.22083919277877362,32.970564011332876,-19.96605439955369,3.997360193336457,8.435474541101939e-13,,,,,7.620386830615616
Brent_YoY,c_gm2_inventory,1,213,53,0.28665377598161357,-0.027284266775892352,30.24422521101662,-4.451894682040322,2.8945068840594494,5.038596335715795e-07,-3.6688849888372745,3.46127248371797e-05,-0.0003339785381952787,0.11416008079511064,5.187004416229803
Brent_YoY,a_gm2,2,212,53,0.2678571207863395,-0.1407062066267939,31.87014557485189,-23.87449723086977,4.447825622662436,6.661338147750939e-16,,,,,8.765230153628309
Brent_YoY,c_gm2_inventory,2,212,53,0.3205516570532816,0.07907561955192277,28.635787452777464,-9.994189739511098,3.4396927738725913,2.502279272675878e-09,-3.1439711512611668,0.00032759232077905764,-0.00032390130044168686,0.11603944552415624,6.233261350370698
Brent_YoY,a_gm2,3,212,52,0.2868891373861554,-0.014755810643151568,29.483130429928586,-25.10910860262936,4.613126921267182,0.0,,,,,9.191537718413505
Brent_YoY,c_gm2_inventory,3,212,52,0.33701153809602535,0.1578214967798527,26.85931275085594,-11.925117491517385,3.6467740765764187,2.3916912894605957e-10,-2.933592481190457,0.000758811924029823,-0.000375888784537981,0.06422326742144757,6.660509615696504
Brent_YoY,a_gm2,4,211,52,0.280400349007879,0.09453948329779538,27.85015258733085,-24.758360307536066,4.557832056498191,2.220446049250313e-16,,,,,9.024371098053908
Brent_YoY,c_gm2_inventory,4,211,52,0.3317827464312746,0.22938986387274918,25.692725614895757,-11.8031667721452,3.6074528326529927,5.484102061359408e-10,-2.8382637980028855,0.0013358614430722948,-0.0004289462294124746,0.03536105764836872,6.5130375384912105
Brent_YoY,a_gm2,5,210,52,0.24643615830513055,0.17861368149119328,26.525681622744393,-22.47530774813385,4.268576025859287,1.8207657603852567e-14,,,,,8.247529102906848
Brent_YoY,c_gm2_inventory,5,210,52,0.30722508409400673,0.2734359384150411,24.947657692937184,-8.82138066245511,3.283192925346052,2.243027497073058e-08,-3.0343302047787324,0.0008068348361818245,-0.0004749575069848966,0.022376452100292932,5.8187347842179795
